content,score,thumbsUpCount,reviewCreatedVersion,at,appVersion,app_name,compound,sentiment,rating_category
this is useful and i enjoy it,1,0,446.0.0.49.77,2026-09-10 10:27:29,446.0.0.49.77,Instagram,0.7269,Positive,Low
nice app,5,0,445.0.0.45.83,2026-09-10 10:26:59,445.0.0.45.83,Instagram,0.4215,Positive,High
add more bugs to fix later,1,0,446.0.0.49.77,2026-09-10 10:26:24,446.0.0.49.77,Instagram,0.0,Neutral,Low
incredible app,3,0,,2026-09-10 10:25:55,,Instagram,0.0,Neutral,Medium
rahul rawat mujhe instagram bahut maja aata hai dekhne mein agar tum ek chij bahut mujhe deti hai ki life chalne ke liye 1000 subscriber karna hai 1000 subscriber karne ke liye mere pass itna time nahin rahata live chalne mein time rahata hai to live chalne ke liye dimag nahin kam kar raha hai kya karun kaise nahin karun live wala khol do follow 1000 mat mango,5,0,,2026-09-10 10:25:40,,Instagram,0.0,Neutral,High
gjh cc hmm wo woman hmm uj,5,0,,2026-09-10 10:25:27,,Instagram,0.0,Neutral,High
good,5,0,445.0.0.45.83,2026-09-10 10:25:25,445.0.0.45.83,Instagram,0.4404,Positive,High
instgeram jalo karo,5,0,445.0.0.45.83,2026-09-10 10:25:17,445.0.0.45.83,Instagram,0.0,Neutral,High
good to use,5,0,326.0.0.42.90,2026-09-10 10:24:43,326.0.0.42.90,Instagram,0.4404,Positive,High
"horrible for sometimes all keep freezing on my screen with a page to force me to agree with ads,,by this forceful manners forcing me to get tired and stop using the app",1,0,446.0.0.49.77,2026-09-10 10:24:39,446.0.0.49.77,Instagram,-0.7579,Negative,Low
very nice social media app❤️❤️✨,5,1,446.0.0.49.77,2026-09-10 10:24:20,446.0.0.49.77,Instagram,0.659,Positive,High
free,2,0,,2026-09-10 10:23:46,,Instagram,0.5106,Positive,Low
best app,5,0,376.1.0.55.68,2026-09-10 10:23:35,376.1.0.55.68,Instagram,0.6369,Positive,High
the bots are rampant is this app i been blocking them everyday like why is this app not verifying before sign up,2,0,445.0.0.45.83,2026-09-10 10:21:40,445.0.0.45.83,Instagram,-0.0258,Neutral,Low
very good apple 🍎,5,0,445.0.0.45.83,2026-09-10 10:21:24,445.0.0.45.83,Instagram,0.4927,Positive,High
good,3,0,446.0.0.49.77,2026-09-10 10:20:35,446.0.0.49.77,Instagram,0.4404,Positive,Medium
is nice app and secure,5,0,298.0.0.31.110,2026-09-10 10:20:28,298.0.0.31.110,Instagram,0.6369,Positive,High
it's great,5,1,446.0.0.49.77,2026-09-10 10:19:58,446.0.0.49.77,Instagram,0.6249,Positive,High
this app is very interesting,5,0,,2026-09-10 10:18:53,,Instagram,0.4576,Positive,High
supar,5,0,445.0.0.45.83,2026-09-10 10:17:51,445.0.0.45.83,Instagram,0.0,Neutral,High
good.... rise my view.. love instagram,5,0,,2026-09-10 10:17:03,,Instagram,0.7964,Positive,High
"addictive app, worse than alcohol. can make you lose focus, attention span and reduce your productivity unless you are the creator. disgusting app, often shows pedophilia, leaked and banned content, gore, nsfw, nsfc. out of all the things i mentioned. theres only one i like. and im not a content creator.",4,0,446.0.0.49.77,2026-09-10 10:16:44,446.0.0.49.77,Instagram,-0.9001,Negative,High
gooi v,5,0,,2026-09-10 10:16:41,,Instagram,0.0,Neutral,High
dste instagram 😘😘😘😘😘😘👍,5,0,446.0.0.49.77,2026-09-10 10:16:26,446.0.0.49.77,Instagram,0.9413,Positive,High
good,1,1,415.0.0.36.76,2026-09-10 10:16:07,415.0.0.36.76,Instagram,0.4404,Positive,Low
nice,5,0,437.0.0.33.78,2026-09-10 10:15:54,437.0.0.33.78,Instagram,0.4215,Positive,High
i like instagram,5,0,,2026-09-10 10:15:46,,Instagram,0.3612,Positive,High
very bad app,1,0,445.0.0.45.83,2026-09-10 10:13:48,445.0.0.45.83,Instagram,-0.5849,Negative,Low
trying to manipulate people through algorithm.,1,0,392.2.0.58.78,2026-09-10 10:13:13,392.2.0.58.78,Instagram,0.0,Neutral,Low
one of the best app ever❤️❤️,5,0,445.0.0.45.83,2026-09-10 10:13:06,445.0.0.45.83,Instagram,0.6369,Positive,High
👍👍👍👍👍🤏,5,0,,2026-09-10 10:12:54,,Instagram,0.0,Neutral,High
good,5,0,446.0.0.49.77,2026-09-10 10:12:29,446.0.0.49.77,Instagram,0.4404,Positive,High
it’s a great social apps for all time ❤️‍🩹🫶,4,0,445.0.0.45.83,2026-09-10 10:12:16,445.0.0.45.83,Instagram,0.6249,Positive,High
ma sahil_choudhary_999,5,0,446.0.0.49.77,2026-09-10 10:11:11,446.0.0.49.77,Instagram,0.0,Neutral,High
good,5,0,,2026-09-10 10:11:08,,Instagram,0.4404,Positive,High
worst app,1,0,,2026-09-10 10:10:59,,Instagram,-0.6249,Negative,Low
best app,5,0,,2026-09-10 10:10:51,,Instagram,0.6369,Positive,High
👑🦁,5,0,438.0.0.28.88,2026-09-10 10:10:06,438.0.0.28.88,Instagram,0.0,Neutral,High
"this app is not good. instagram has disabled two of my accounts within just two days. i have not done anything wrong, and i have not violated instagram’s community guidelines. please review my accounts and reconsider the decision. i believe my accounts were disabled by mistake.",1,0,446.0.0.49.77,2026-09-10 10:09:47,446.0.0.49.77,Instagram,0.4261,Positive,Low
mumtaj ansari 6789,1,0,,2026-09-10 10:08:50,,Instagram,0.0,Neutral,Low
good helps in connecting with people but the phone instantly becomes very hot ... can't scroll countinously,4,0,,2026-09-10 10:08:10,,Instagram,0.4118,Positive,High
anushuya monday,5,0,278.0.0.22.117,2026-09-10 10:07:05,278.0.0.22.117,Instagram,0.0,Neutral,High
it's very nice and important for me,5,0,442.0.0.46.79,2026-09-10 10:06:49,442.0.0.46.79,Instagram,0.6318,Positive,High
"dear instagram team, my account(@zoya_gaming) has been deactivated. i believe this is a mistake as i have always followed all community guidelines and terms of service. i request you to please review my account and reactivate it as soon as possible. thank you for your time and assistance.""",5,0,446.0.0.49.77,2026-09-10 10:06:40,446.0.0.49.77,Instagram,0.6124,Positive,High
very good,5,0,444.0.0.46.85,2026-09-10 10:06:25,444.0.0.46.85,Instagram,0.4927,Positive,High
🥰,5,0,445.0.0.45.83,2026-09-10 10:06:13,445.0.0.45.83,Instagram,0.8074,Positive,High
why this is not installing in my phone??......,1,0,446.0.0.49.77,2026-09-10 10:06:00,446.0.0.49.77,Instagram,0.0,Neutral,Low
excellent,5,0,437.0.0.33.78,2026-09-10 10:05:25,437.0.0.33.78,Instagram,0.5719,Positive,High
secure my account,5,0,446.0.0.49.77,2026-09-10 10:05:13,446.0.0.49.77,Instagram,0.34,Positive,High
veery nice 💚💚🤍🤍🧡🧡,5,1,445.0.0.45.83,2026-09-10 10:04:19,445.0.0.45.83,Instagram,0.9468,Positive,High
"the support system is the worst of the worst, i reported a guy who harrassed me online but caused the language he used was not english and had voice notes , ig didn't consider it as a threat , basically reporting someone doesn't work in ig at all unless it's in english, plz do consider different language too",1,0,,2026-09-10 10:04:10,,Instagram,-0.8126,Negative,Low
this app is very good,5,0,446.0.0.49.77,2026-09-10 10:03:44,446.0.0.49.77,Instagram,0.4927,Positive,High
🍁🍁 i love you 🍁🍁,5,0,,2026-09-10 10:03:05,,Instagram,0.6369,Positive,High
not interested,5,0,445.0.0.45.83,2026-09-10 10:02:45,445.0.0.45.83,Instagram,-0.3089,Negative,High
best app,5,0,,2026-09-10 10:02:35,,Instagram,0.6369,Positive,High
five star,1,0,446.0.0.49.77,2026-09-10 10:02:29,446.0.0.49.77,Instagram,0.0,Neutral,Low
my account always gets suspended so this app isn't that good,1,0,,2026-09-10 10:02:14,,Instagram,-0.6711,Negative,Low
"love it!💜 but i wish we could earn through it cause i never liked using instagram or most other social apps, but now that i started posting on it, i get more views and likes than i did on even youtube. i wish we could earn through it from any county.",5,0,445.0.0.45.83,2026-09-10 10:01:31,445.0.0.45.83,Instagram,0.9286,Positive,High
this is not a app this is aa girl set appo,1,0,,2026-09-10 09:58:52,,Instagram,0.0,Neutral,Low
it's very cool app,5,0,,2026-09-10 09:58:09,,Instagram,0.3804,Positive,High
very bad distract me,1,0,,2026-09-10 09:57:48,,Instagram,-0.7408,Negative,Low
i hope we can custom the order of the stories in the highlights,4,0,,2026-09-10 09:56:04,,Instagram,0.4404,Positive,High
faaaaaaah,5,0,,2026-09-10 09:54:46,,Instagram,0.0,Neutral,High
wow,5,0,443.0.0.48.82,2026-09-10 09:54:19,443.0.0.48.82,Instagram,0.5859,Positive,High
good,5,0,445.0.0.45.83,2026-09-10 09:53:38,445.0.0.45.83,Instagram,0.4404,Positive,High
"there is a setting, limitations of using application. but that counts not only video , reel but also messaging screen. please make a limitations only for reel and videos. thanks",1,0,445.0.0.45.83,2026-09-10 09:53:27,445.0.0.45.83,Instagram,0.7783,Positive,Low
bast chat qpp me,5,0,445.0.0.45.83,2026-09-10 09:53:20,445.0.0.45.83,Instagram,0.0,Neutral,High
good but bad👍,5,0,444.0.0.46.85,2026-09-10 09:52:46,444.0.0.46.85,Instagram,-0.5859,Negative,High
i love instagram i trust instagram,5,0,441.0.0.43.81,2026-09-10 09:52:34,441.0.0.43.81,Instagram,0.8176,Positive,High
super easy to use and looks amazing! this completely upgraded my feed and saved me so much time. highly recommend to anyone looking to grow.,5,0,442.0.0.46.79,2026-09-10 09:52:20,442.0.0.46.79,Instagram,0.9476,Positive,High
it is best,4,0,429.1.0.44.70,2026-09-10 09:51:19,429.1.0.44.70,Instagram,0.6369,Positive,High
bhalo,4,0,445.0.0.45.83,2026-09-10 09:50:57,445.0.0.45.83,Instagram,0.0,Neutral,High
"greetings instagram team, my account (yourusername) has been deactivated and i have tried every possible way but not able to get it back and i believe this is a mistake from your side as i have always followed all community guidelines and terms of service. i request you to please review/analyse my account and reactivate it arjtdwjej",5,0,445.0.0.45.83,2026-09-10 09:49:46,445.0.0.45.83,Instagram,0.1901,Positive,High
re up ll,5,0,445.0.0.45.83,2026-09-10 09:49:03,445.0.0.45.83,Instagram,0.0,Neutral,High
mere id ko prommot kro ❤️,5,0,445.0.0.45.83,2026-09-10 09:48:16,445.0.0.45.83,Instagram,0.0,Neutral,High
very nice,4,0,443.0.0.48.82,2026-09-10 09:48:09,443.0.0.48.82,Instagram,0.4754,Positive,High
app not working,1,0,,2026-09-10 09:47:47,,Instagram,0.0,Neutral,Low
rajendat,2,0,436.0.0.41.73,2026-09-10 09:47:45,436.0.0.41.73,Instagram,0.0,Neutral,Low
google,5,0,445.0.0.45.83,2026-09-10 09:47:38,445.0.0.45.83,Instagram,0.0,Neutral,High
this so amazing app i liked 💟,5,1,445.0.0.45.83,2026-09-10 09:47:16,445.0.0.45.83,Instagram,0.902,Positive,High
nice app,5,0,,2026-09-10 09:46:31,,Instagram,0.4215,Positive,High
this app as well nd most uploaded pic,4,0,445.0.0.45.83,2026-09-10 09:45:48,445.0.0.45.83,Instagram,0.2732,Positive,High
🩷🩷,4,0,,2026-09-10 09:45:44,,Instagram,0.0,Neutral,High
beutifull,4,0,445.0.0.45.83,2026-09-10 09:45:17,445.0.0.45.83,Instagram,0.0,Neutral,High
"“10/10 for the aesthetic, 0/10 for the addiction 😭”",1,0,,2026-09-10 09:44:29,,Instagram,-0.4767,Negative,Low
my account disabled for no reason,1,0,446.0.0.49.77,2026-09-10 09:44:24,446.0.0.49.77,Instagram,-0.296,Negative,Low
internet yaxshinas yuklanish juda sekin,1,0,445.0.0.45.83,2026-09-10 09:43:45,445.0.0.45.83,Instagram,0.0,Neutral,Low
nice,5,0,443.0.0.48.82,2026-09-10 09:43:44,443.0.0.48.82,Instagram,0.4215,Positive,High
good 👍,5,0,341.0.0.45.100,2026-09-10 09:42:39,341.0.0.45.100,Instagram,0.4404,Positive,High
good,5,0,445.0.0.45.83,2026-09-10 09:42:33,445.0.0.45.83,Instagram,0.4404,Positive,High
manish bhari 302,5,0,445.0.0.45.83,2026-09-10 09:42:14,445.0.0.45.83,Instagram,0.0,Neutral,High
i am very happy 😊 to use instagram.🌹,4,0,445.0.0.45.83,2026-09-10 09:42:06,445.0.0.45.83,Instagram,0.8826,Positive,High
acc aku yang aku dah pakai sebelum aku jadi student lagi (2019 lebih kurang ) kene banned hanya disebabkan pihak ig tak boleh nak sahkan identiti aku berdasarkan selfie dengan post aku yg dah bertahun dekat dalam acc tu...pebende security makin maju nye.. ape gunenye selfie confirmation nye .menyusahkan pengguna... dahla acc kene hacked...aku yg owner acc pulak tak boleh retrieve...,1,0,446.0.0.49.77,2026-09-10 09:41:40,446.0.0.49.77,Instagram,-0.1531,Negative,Low
take lot of time to install,1,0,,2026-09-10 09:41:28,,Instagram,0.0,Neutral,Low
interestinginstgram,4,0,445.0.0.45.83,2026-09-10 09:41:11,445.0.0.45.83,Instagram,0.0,Neutral,High
this is so good to see a anime lover,5,0,,2026-09-10 09:40:59,,Instagram,0.8196,Positive,High
this is very bad aap because he suspended my 100 i'd without any reason so not any one trust him this is very bad aap 😡😡😡😡,1,0,445.0.0.45.83,2026-09-10 09:40:44,445.0.0.45.83,Instagram,-0.9244,Negative,Low
"hello instagram support, my account was suspended, and i believe this may have happened by mistake. i understand that instagram takes account integrity and community guidelines seriously, and i respect the rules. i have not intentionally violated instagram’s policies or attempted to bypass any restrictions. please review my account and the reason for the suspension manually. if my account has been incorrectly associated with another account, i kindly ask you to reconsider this decision. this acc",1,0,387.1.0.34.85,2026-09-10 09:40:27,387.1.0.34.85,Instagram,0.8582,Positive,Low
nice app very helpfull,5,0,,2026-09-10 09:40:27,,Instagram,0.4215,Positive,High
good for entertainment,5,0,,2026-09-10 09:40:05,,Instagram,0.6908,Positive,High
nice app,5,0,,2026-09-10 09:39:34,,Instagram,0.4215,Positive,High
nice app for android phone and iphone,5,0,445.0.0.45.83,2026-09-10 09:39:20,445.0.0.45.83,Instagram,0.4215,Positive,High
it is good,5,0,446.0.0.49.77,2026-09-10 09:38:28,446.0.0.49.77,Instagram,0.4404,Positive,High
nix aap❤️🙃,5,0,445.0.0.45.83,2026-09-10 09:38:14,445.0.0.45.83,Instagram,0.0,Neutral,High
u ji,4,0,445.0.0.45.83,2026-09-10 09:36:48,445.0.0.45.83,Instagram,0.0,Neutral,High
good,5,0,446.0.0.49.77,2026-09-10 09:35:18,446.0.0.49.77,Instagram,0.4404,Positive,High
হেব্বি সুন্দর ইস্টাগ্রাম,5,0,,2026-09-10 09:34:36,,Instagram,0.0,Neutral,High
may be it is the best social media app in the the market because i gaves better content then other media app i know may be you install app first then conte will be very bad but like good reel and follow good people's then your feed become better so enjoy! reels,4,0,446.0.0.49.77,2026-09-10 09:34:19,446.0.0.49.77,Instagram,0.9759,Positive,High
❤️❤️❤️,4,0,,2026-09-10 09:32:44,,Instagram,0.0,Neutral,High
kuch reals aise hote hai jo risto ko todwane ka kaam karte hai 😞,1,0,,2026-09-10 09:31:48,,Instagram,-0.4767,Negative,Low
حیسسس,5,0,,2026-09-10 09:30:32,,Instagram,0.0,Neutral,High
🧡🧡🧡💗💛🐷🐖🐖🥷😙💚🤍❤️🧿💖😙👩‍❤️‍👨,5,0,,2026-09-10 09:30:18,,Instagram,0.992,Positive,High
"hello instagram support, my birthday is on september 13th, and i have a small birthday wish. 🎂❤️ could you please give me a special birthday gift by fixing my account’s reach? my reels are not reaching my followers properly, and they are also not being shown to non-followers. i have already sent several messages about this issue, but i still haven’t received a clear answer. i have not intentionally posted anything against instagram’s guidelines, and i am not using any third-party or other apps",2,0,444.0.0.46.85,2026-09-10 09:30:13,444.0.0.46.85,Instagram,0.852,Positive,Low
fav spot for hangout with the stuff thats having a lot of knowledge,5,0,446.0.0.49.77,2026-09-10 09:29:19,446.0.0.49.77,Instagram,0.4588,Positive,High
nice ❤️,5,0,445.0.0.45.83,2026-09-10 09:28:55,445.0.0.45.83,Instagram,0.4215,Positive,High
best app,5,0,,2026-09-10 09:28:15,,Instagram,0.6369,Positive,High
very good,5,0,,2026-09-10 09:28:10,,Instagram,0.4927,Positive,High
distraction,5,0,,2026-09-10 09:27:47,,Instagram,-0.3818,Negative,High
bakar,1,0,333.0.0.42.91,2026-09-10 09:26:50,333.0.0.42.91,Instagram,0.0,Neutral,Low
bakwas app hai yrr ladki reply bhi nhi deti hai,5,0,445.0.0.45.83,2026-09-10 09:26:44,445.0.0.45.83,Instagram,0.0,Neutral,High
instagram is the best amazing app this app posts reels or stories,5,0,446.0.0.49.77,2026-09-10 09:26:39,446.0.0.49.77,Instagram,0.8402,Positive,High
good aap,5,0,,2026-09-10 09:26:11,,Instagram,0.4404,Positive,High
nice 👍,5,0,422.0.0.44.64,2026-09-10 09:25:57,422.0.0.44.64,Instagram,0.4215,Positive,High
bahut bekar hai,1,0,445.0.0.45.83,2026-09-10 09:25:12,445.0.0.45.83,Instagram,0.0,Neutral,Low
"it's ok, i guess",4,0,446.0.0.49.77,2026-09-10 09:24:26,446.0.0.49.77,Instagram,0.0,Neutral,High
probl rels,5,0,333.0.0.42.91,2026-09-10 09:23:56,333.0.0.42.91,Instagram,0.0,Neutral,High
hlo instagram,2,0,,2026-09-10 09:23:17,,Instagram,0.0,Neutral,Low
bro.. this has gotta be in your daily used apps🤝,5,0,446.0.0.49.77,2026-09-10 09:22:56,446.0.0.49.77,Instagram,0.0,Neutral,High
"bestttt bs meri reel viral krdo buhat mehnat krti hu ,😭😭😭🫶🫶🫶🙌",5,0,446.0.0.49.77,2026-09-10 09:22:53,446.0.0.49.77,Instagram,-0.8519,Negative,High
very best 👌 👌 👍 😍 🥰 ☺️,5,0,,2026-09-10 09:22:49,,Instagram,0.9843,Positive,High
algorithm is very disappointing 😞 small creator cant even grow up !,1,0,442.0.0.46.79,2026-09-10 09:22:37,442.0.0.46.79,Instagram,-0.8,Negative,Low
sabse bekar app hai,5,0,,2026-09-10 09:22:24,,Instagram,0.0,Neutral,High
good,5,0,444.0.0.46.85,2026-09-10 09:22:23,444.0.0.46.85,Instagram,0.4404,Positive,High
mujhku viral nahi kya,2,0,315.0.0.29.109,2026-09-10 09:22:13,315.0.0.29.109,Instagram,0.0,Neutral,Low
"well, i don't have a concern but my friend does, he said that everytime he creates an account, it easily get suspended even though he is not violating anything from the app.",5,0,,2026-09-10 09:21:18,,Instagram,0.8814,Positive,High
beat aap,5,0,445.0.0.45.83,2026-09-10 09:21:14,445.0.0.45.83,Instagram,0.0,Neutral,High
thank you sir,5,0,445.0.0.45.83,2026-09-10 09:20:41,445.0.0.45.83,Instagram,0.3612,Positive,High
my favourite app,5,0,445.0.0.45.83,2026-09-10 09:19:51,445.0.0.45.83,Instagram,0.0,Neutral,High
dope,5,0,437.0.0.33.78,2026-09-10 09:19:50,437.0.0.33.78,Instagram,0.0,Neutral,High
it's need to add more futures,3,0,445.0.0.45.83,2026-09-10 09:18:46,445.0.0.45.83,Instagram,0.0,Neutral,Medium
best for entertainment,5,0,445.0.0.45.83,2026-09-10 09:18:39,445.0.0.45.83,Instagram,0.7906,Positive,High
best app for single boy,4,0,406.0.0.58.159,2026-09-10 09:18:35,406.0.0.58.159,Instagram,0.6369,Positive,High
❤️❤️❤️❤️❤️,5,0,,2026-09-10 09:17:01,,Instagram,0.0,Neutral,High
instagram what is this behaviour!!😐🤯😤without any reason instagram as sunpended and disable all my account 😓😭,1,0,,2026-09-10 09:16:59,,Instagram,-0.7568,Negative,Low
i dont see the search button for filters,1,0,445.0.0.45.83,2026-09-10 09:16:45,445.0.0.45.83,Instagram,0.0,Neutral,Low
valo app ata amar valo lagche.,3,0,445.0.0.45.83,2026-09-10 09:16:15,445.0.0.45.83,Instagram,0.0,Neutral,Medium
goodluck,5,0,444.0.0.46.85,2026-09-10 09:15:46,444.0.0.46.85,Instagram,0.0,Neutral,High
it good,5,0,445.0.0.45.83,2026-09-10 09:15:32,445.0.0.45.83,Instagram,0.4404,Positive,High
wow,5,0,242.0.0.16.111,2026-09-10 09:15:05,242.0.0.16.111,Instagram,0.5859,Positive,High
this aap was too good and comfortable mane to bovj maja aavi ane saru pan lagyu,5,0,431.1.0.49.82,2026-09-10 09:15:02,431.1.0.49.82,Instagram,0.7351,Positive,High
nice app,5,0,,2026-09-10 09:14:33,,Instagram,0.4215,Positive,High
"disabled account without any reason,such a waste of time",1,0,445.0.0.45.83,2026-09-10 09:14:16,445.0.0.45.83,Instagram,-0.4215,Negative,Low
plsss yeh account viral kardo,5,0,446.0.0.49.77,2026-09-10 09:14:08,446.0.0.49.77,Instagram,0.0,Neutral,High
no wards 💗😭🤲🏻🧿🫶🏻,5,0,,2026-09-10 09:14:04,,Instagram,-0.1576,Negative,High
amit 💞💞,5,0,446.0.0.49.77,2026-09-10 09:13:51,446.0.0.49.77,Instagram,0.8625,Positive,High
bro best ever app it meant actually you can connect with people and community as well as,5,0,,2026-09-10 09:13:30,,Instagram,0.743,Positive,High
"this is very bad app. instagram ban my 5 id's without any reasons. very bad app instagram don't have any policys or anything, it's based on false strike. please return my id username abiradhikary2.0",1,0,446.0.0.49.77,2026-09-10 09:12:57,446.0.0.49.77,Instagram,-0.8856,Negative,Low
bahut kharab chal raha hai na hi kisi ko mention ho raha hai,1,0,443.0.0.48.82,2026-09-10 09:12:27,443.0.0.48.82,Instagram,0.0,Neutral,Low
good,4,0,361.0.0.46.88,2026-09-10 09:12:23,361.0.0.46.88,Instagram,0.4404,Positive,High
hey insta why you are ban my acc's again and again??,1,0,,2026-09-10 09:12:03,,Instagram,-0.6072,Negative,Low
deepak singh,5,0,446.0.0.49.77,2026-09-10 09:10:40,446.0.0.49.77,Instagram,0.0,Neutral,High
v. negative algorithm pushing pessimism,1,0,,2026-09-10 09:09:59,,Instagram,-0.7351,Negative,Low
good,5,0,445.0.0.45.83,2026-09-10 09:09:56,445.0.0.45.83,Instagram,0.4404,Positive,High
satisfactory,5,0,443.0.0.48.82,2026-09-10 09:09:15,443.0.0.48.82,Instagram,0.3612,Positive,High
"i’m really disappointed with how instagram handles features between iphone and android. i found a story trick/tutorial that i wanted to try, only to find out that the feature apparently isn’t available on android. i understand that some features may take time to roll out, but having major differences between platforms is frustrating for android users. please make features available across both platforms instead of making users feel left out based on what phone they use.",2,0,446.0.0.49.77,2026-09-10 09:09:01,446.0.0.49.77,Instagram,-0.476,Negative,Low
nitin,1,0,278.0.0.22.117,2026-09-10 09:08:53,278.0.0.22.117,Instagram,0.0,Neutral,Low
har baar account suspend kar de rahe ho bina galti ke 😔,1,0,445.0.0.45.83,2026-09-10 09:08:52,445.0.0.45.83,Instagram,-0.25,Negative,Low
♥️♥️♥️,5,0,,2026-09-10 09:08:12,,Instagram,0.9274,Positive,High
not bad,3,0,446.0.0.49.77,2026-09-10 09:07:19,446.0.0.49.77,Instagram,0.431,Positive,Medium
you guys should let my accounts be i did nothing wrong,1,0,,2026-09-10 09:06:58,,Instagram,0.3724,Positive,Low
exp tirw,5,0,445.0.0.45.83,2026-09-10 09:06:35,445.0.0.45.83,Instagram,0.0,Neutral,High
ok,5,0,445.0.0.45.83,2026-09-10 09:05:46,445.0.0.45.83,Instagram,0.296,Positive,High
chiargkumnar,5,0,,2026-09-10 09:05:01,,Instagram,0.0,Neutral,High
this app is very lagging to use my processor is snapdragon 6gen 1 processor,2,0,446.0.0.49.77,2026-09-10 09:04:34,446.0.0.49.77,Instagram,-0.3384,Negative,Low
meri insta i'd baar baar disable ho rhi h pta ni kyu mene toh koi community rules bhi break nhi kiya🙂,4,0,446.0.0.49.77,2026-09-10 09:03:43,446.0.0.49.77,Instagram,0.4033,Positive,High
superb bad experience,5,0,,2026-09-10 09:03:42,,Instagram,0.1531,Positive,High
good,5,0,445.0.0.45.83,2026-09-10 09:03:22,445.0.0.45.83,Instagram,0.4404,Positive,High
viral reels,4,0,422.0.0.44.64,2026-09-10 09:03:14,422.0.0.44.64,Instagram,0.0,Neutral,High
mera instagram download nhi ho rha,4,0,,2026-09-10 09:02:34,,Instagram,0.0,Neutral,High
please grow my profile and followers.,4,0,445.0.0.45.83,2026-09-10 09:02:13,445.0.0.45.83,Instagram,0.3182,Positive,High
good for content creation 🌷🌸,5,0,445.0.0.45.83,2026-09-10 09:01:31,445.0.0.45.83,Instagram,0.6124,Positive,High
the bestest app ever,5,0,442.0.0.46.79,2026-09-10 09:01:12,442.0.0.46.79,Instagram,0.0,Neutral,High
we are use for chat with friends and every couple chat with soulmate 💞😜,5,0,,2026-09-10 09:01:00,,Instagram,0.9062,Positive,High
ravi rgbgj bbbm un,3,0,446.0.0.49.77,2026-09-10 09:00:00,446.0.0.49.77,Instagram,0.0,Neutral,Medium
you're good on assistance i like it,5,0,444.0.0.46.85,2026-09-10 08:59:24,444.0.0.46.85,Instagram,0.6597,Positive,High
so good,5,0,442.0.0.46.79,2026-09-10 08:59:23,442.0.0.46.79,Instagram,0.4927,Positive,High
